,Zone,Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,PIB par habitant,Stabilité politique,Population
0,Afghanistan,1.53,0.54,57.0,-1.5300000000000011,29.0,2058.4,-2.8,36296113.0
1,Afrique du Sud,35.69,14.11,2118.0,63.0,514.0,13860.3,-0.28,57009756.0
2,Albanie,16.36,6.26,47.0,0.0,38.0,12771.0,0.38,2884169.0
3,Algérie,6.38,1.97,277.0,0.0,2.0,11737.4,-0.92,41389189.0
4,Allemagne,19.47,7.96,1739.0,646.0,842.0,53071.5,0.59,82658409.0
5,Angola,10.56,3.6,319.0,0.0,277.0,7310.9,-0.38,29816766.0
6,Arabie saoudite,43.36,15.57,1435.0,10.0,722.0,47306.2,-0.64,33101178.0
7,Argentine,42.24,13.53,1962.0,207.0,8.0,23597.1,0.17,43937140.0
8,Arménie,16.06,5.44,47.0,0.0,35.0,12115.1,-0.62,2944791.0
9,Australie,47.65,16.6,1171.0,42.0,16.0,48398.5,0.9,24584620.0
10,Autriche,18.2,7.49,173.0,78.0,110.0,54173.0,1.05,8819901.0
11,Azerbaïdjan,13.11,4.45,129.0,0.0,27.0,14121.4,-0.75,9845320.0
12,Bahamas,43.17,14.61,26.0,-35.17,24.0,35911.7,0.99,381755.0
13,Bangladesh,1.5,0.47,250.0,-2.5,0.0,4894.6,-1.26,159685424.0
14,Barbade,46.78,15.33,17.0,0.0,2.0,15800.4,0.97,286232.0
15,Belgique,12.65,4.57,152.0,656.0,338.0,50442.3,0.43,11419748.0
16,Belize,25.69,8.26,19.0,0.0,0.0,7140.9,0.04,375769.0
17,Bolivie (État plurinational de),36.0,11.43,429.0,1.0,1.0,8423.7,-0.28,11192855.0
18,Bosnie-Herzégovine,16.7,5.66,55.0,8.0,10.0,13753.8,-0.35,3351525.0
19,Botswana,3.39,1.19,7.0,0.0,3.0,15948.0,1.02,2205080.0
20,Brésil,48.03,15.68,9982.0,4223.0,3.0,14524.6,-0.47,207833823.0
21,Bulgarie,22.06,8.74,157.0,45.0,108.0,21469.9,0.33,7102444.0
22,Burkina Faso,2.27,0.77,46.0,-2.270000000000003,0.0,2044.4,-0.93,19193234.0
23,Bélarus,27.98,9.41,265.0,152.0,21.0,18356.1,-0.05,9450231.0
24,Bénin,14.4,4.98,161.0,0.0,123.0,3044.5,0.03,11175198.0
25,Cabo Verde,17.62,6.52,10.0,-10.620000000000001,12.0,6643.2,0.77,537498.0
26,Cambodge,2.34,0.74,38.0,-2.3400000000000034,10.0,3928.4,0.09,16009409.0
27,Cameroun,3.16,1.07,82.0,0.0,0.0,3665.1,-1.1,24566073.0
28,Canada,39.02,13.86,1433.0,163.0,182.0,48317.2,1.1,36732095.0
29,Chili,36.36,12.21,672.0,115.0,155.0,24411.5,0.42,18470439.0
30,Chine - RAS de Hong-Kong,53.51,22.26,280.0,663.0,907.0,59842.2,0.83,7306322.0
31,Chine - RAS de Macao,34.47,11.9,19.0,0.0,23.0,126144.0,1.43,622585.0
32,Chypre,25.08,9.58,38.0,1.0,14.0,38288.0,0.54,1179678.0
33,Colombie,31.99,9.57,1643.0,2.0,78.0,14171.3,-0.77,48909839.0
34,Congo,21.53,7.45,110.0,0.0,104.0,4234.7,-0.53,5110695.0
35,Costa Rica,26.52,7.93,134.0,3.0,17.0,20347.0,0.61,4949954.0
36,Croatie,10.77,4.06,45.0,17.0,24.0,27154.1,0.69,4182857.0
37,Côte d'Ivoire,2.53,0.86,65.0,0.0,7.0,4830.8,-1.09,24437470.0
38,Danemark,28.98,12.97,167.0,139.0,133.0,55356.7,0.87,5732274.0
39,El Salvador,20.43,6.25,131.0,2.0,16.0,8454.1,-0.26,6388126.0
40,Espagne,30.39,12.47,1497.0,212.0,205.0,39528.9,0.28,46647428.0
41,Estonie,21.26,7.27,29.0,11.0,21.0,33821.9,0.65,1319390.0
42,Eswatini,6.46,2.23,7.0,0.0,2.0,8408.0,-0.27,1124805.0
43,Fidji,28.02,9.44,26.0,0.0,3.0,13429.3,0.62,877459.0
44,Finlande,18.76,7.87,111.0,12.0,16.0,47570.1,1.08,5511371.0
45,France,22.9,8.95,1573.0,501.0,506.0,44577.1,0.28,64842509.0
46,Fédération de Russie,30.98,10.44,4556.0,115.0,226.0,25926.4,-0.64,145530082.0
47,Gabon,29.33,10.59,78.0,0.0,76.0,15006.8,-0.1,2064822.0
48,Gambie,3.53,1.24,8.0,16.47,16.0,2072.6,-0.08,2213889.0
49,Ghana,7.24,2.26,211.0,0.0,151.0,5115.9,0.09,29121465.0
50,Grèce,15.32,6.32,178.0,29.0,79.0,28604.9,-0.07,10569450.0
51,Guatemala,20.58,6.11,357.0,7.0,129.0,8322.2,-0.65,16914970.0
52,Guinée,4.08,1.42,50.0,-4.079999999999998,37.0,2417.8,-0.7,12067519.0
53,Guinée-Bissau,2.16,0.74,4.0,3.84,4.0,1925.2,-0.5,1828145.0
54,Guyana,38.34,12.33,32.0,0.0,0.0,12005.4,-0.04,775222.0
55,Géorgie,15.27,5.19,61.0,5.0,51.0,13589.7,-0.37,4008716.0
56,Haïti,8.91,2.75,98.0,-8.909999999999997,89.0,3153.3,-0.67,10982366.0
57,Honduras,21.73,6.98,205.0,1.0,12.0,5562.0,-0.56,9429013.0
58,Hongrie,25.27,9.8,266.0,210.0,58.0,29501.1,0.81,9729823.0
59,Inde,2.22,0.75,3661.0,4.0,0.0,6182.9,-0.76,1338676785.0
60,Indonésie,7.19,2.42,2323.0,0.0,1.0,10935.6,-0.5,264650963.0
61,Iran (République islamique d'),27.52,9.8,2220.0,45.0,6.0,15883.4,-0.93,80673883.0
62,Iraq,14.95,5.37,566.0,0.0,470.0,10526.4,-2.31,37552781.0
63,Irlande,25.82,11.6,128.0,93.0,99.0,77749.2,1.0,4753279.0
64,Islande,29.95,12.33,10.0,0.0,2.0,55638.5,1.35,334393.0
65,Israël,67.39,27.87,636.0,3.0,0.0,39121.3,-0.89,8243848.0
66,Italie,18.88,7.83,1173.0,183.0,97.0,41581.1,0.31,60673701.0
67,Jamaïque,51.1,15.71,152.0,1.0,31.0,9600.1,0.31,2920848.0
68,Japon,18.5,7.24,2415.0,10.0,1069.0,41444.2,1.11,127502725.0
69,Jordanie,28.07,10.1,275.0,10.0,64.0,10003.6,-0.45,9785843.0
70,Kazakhstan,18.27,6.18,331.0,6.0,174.0,24863.0,0.03,18080019.0
71,Kenya,0.67,0.23,35.0,0.0,0.0,4203.6,-1.13,50221142.0
72,Kirghizistan,3.1,1.08,32.0,0.0,25.0,5046.7,-0.38,6189733.0
73,Koweït,46.25,15.87,189.0,4.0,137.0,50855.6,-0.05,4056099.0
74,Lesotho,7.93,2.72,17.0,0.0,15.0,2668.3,-0.19,2091534.0
75,Lettonie,20.89,7.22,41.0,20.0,43.0,28673.6,0.46,1951097.0
76,Liban,10.74,3.9,73.0,4.0,13.0,15953.7,-1.63,6819373.0
77,Libéria,10.67,3.74,50.0,0.0,48.0,1564.2,-0.33,4702226.0
78,Lituanie,28.19,9.74,82.0,68.0,44.0,33761.9,0.78,2845414.0
79,Luxembourg,18.33,7.19,11.0,1.0,11.0,114986.0,1.33,591910.0
80,Macédoine du Nord,19.73,7.01,41.0,1.0,40.0,15706.4,-0.25,2081996.0
81,Madagascar,2.87,0.97,82.0,-3.8700000000000045,0.0,1584.4,-0.3,25570512.0
82,Malaisie,39.21,12.95,1621.0,44.0,68.0,26661.5,0.12,31104646.0
83,Malawi,5.17,1.74,98.0,59.829999999999984,0.0,1472.1,-0.25,17670196.0
84,Mali,2.83,0.96,52.0,-9.829999999999998,1.0,2246.8,-1.91,18512430.0
85,Malte,27.17,12.68,14.0,0.0,9.0,43559.3,1.25,437933.0
86,Maroc,20.96,7.29,746.0,1.0,3.0,7312.1,-0.37,35581255.0
87,Maurice,37.93,13.06,49.0,0.0,2.0,21415.1,0.97,1264499.0
88,Mauritanie,5.14,1.59,22.0,7.859999999999999,24.0,5108.5,-0.63,4282570.0
89,Mexique,32.52,9.26,4219.0,9.0,972.0,19721.3,-0.8,124777324.0
90,Mongolie,2.77,0.95,9.0,-0.7699999999999996,10.0,11366.3,0.79,3113786.0
91,Monténégro,15.98,5.79,10.0,0.0,8.0,19682.3,-0.06,627563.0
92,Mozambique,3.59,1.2,116.0,-4.590000000000003,24.0,1283.7,-0.93,28649018.0
93,Myanmar,30.37,9.93,1666.0,0.0,3.0,4224.5,-1.08,53382523.0
94,Namibie,11.53,4.25,28.0,12.0,29.0,10171.4,0.63,2402633.0
95,Nicaragua,21.59,6.91,138.0,0.0,6.0,6004.0,-0.05,6384846.0
96,Niger,0.94,0.32,21.0,0.0,3.0,1163.2,-1.27,21602382.0
97,Nigéria,1.01,0.31,202.0,0.0,0.0,5190.4,-2.0,190873244.0
98,Norvège,19.05,7.81,102.0,0.0,2.0,64050.8,1.17,5296326.0
99,Nouvelle-Zélande,34.79,12.02,168.0,23.0,1.0,42218.5,1.6,4702034.0
100,Népal,1.99,0.67,58.0,-1.990000000000002,0.0,3565.2,-0.61,27632681.0
101,Oman,21.63,7.38,114.0,16.0,126.0,33308.5,0.75,4665928.0
102,Ouganda,1.52,0.51,66.0,0.0,0.0,2074.7,-0.57,41166588.0
103,Pakistan,5.86,1.97,1282.0,4.0,2.0,5091.1,-2.41,207906209.0
104,Panama,33.82,10.34,192.0,0.0,20.0,30446.8,0.39,4106769.0
105,Paraguay,5.99,1.8,41.0,4.0,1.0,12590.5,0.0,6867061.0
106,Pays-Bas,20.33,8.48,372.0,1418.0,608.0,55088.6,0.92,17021347.0
107,Philippines,13.87,4.65,1521.0,2.0,249.0,8120.9,-1.19,105172925.0
108,Pologne,30.3,12.14,1156.0,1025.0,55.0,30064.5,0.52,37953180.0
109,Portugal,30.58,12.74,325.0,44.0,82.0,33044.7,1.12,10288527.0
110,Pérou,13.47,6.71,1523.0,1.0,60.0,12506.5,-0.26,31444298.0
111,Roumanie,19.37,7.91,381.0,69.0,146.0,27141.9,0.06,19653969.0
112,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,31.94,13.77,2234.0,359.0,779.0,46372.4,0.39,66727460.0
113,Rwanda,1.49,0.5,19.0,0.0,0.0,1975.2,0.09,11980961.0
114,République centrafricaine,2.29,0.78,11.0,-2.289999999999999,4.0,912.8,-2.01,4596023.0
115,République de Corée,16.7,5.68,854.0,6.0,137.0,40957.4,0.39,51096415.0
116,République de Moldova,16.14,5.53,66.0,0.0,16.0,11651.3,-0.32,4059684.0
117,République dominicaine,35.26,10.88,375.0,6.0,42.0,16735.4,0.16,10513104.0
118,République-Unie de Tanzanie,1.88,0.63,108.0,-2.8799999999999955,2.0,2530.6,-0.56,54660339.0
119,Serbie,10.16,3.5,90.0,7.0,12.0,16611.0,0.09,8829628.0
120,Sierra Leone,3.97,1.24,30.0,0.0,14.0,1633.7,-0.04,7488423.0
121,Slovaquie,13.9,4.74,74.0,35.0,63.0,30061.6,0.91,5447900.0
122,Slovénie,24.41,8.72,52.0,29.0,20.0,36507.6,0.87,2076393.0
123,Soudan,1.6,0.54,69.0,-1.5999999999999943,2.0,4598.9,-1.98,40813397.0
124,Sri Lanka,7.78,2.64,192.0,2.0,0.0,12584.1,-0.07,21128032.0
125,Suisse,15.72,6.49,133.0,4.0,51.0,69103.6,1.26,8455804.0
126,Suriname,31.06,9.27,25.0,5.0,18.0,18283.7,0.13,570496.0
127,Suède,16.6,7.09,187.0,23.0,84.0,51948.0,0.98,9904896.0
128,Sénégal,4.76,1.61,77.0,0.0,0.0,3203.9,-0.05,15419355.0
129,Tadjikistan,4.45,1.45,40.0,-4.450000000000003,38.0,3252.9,-0.67,8880268.0
130,Tchad,0.45,0.15,7.0,0.0,1.0,1587.0,-1.29,15016753.0
131,Tchéquie,21.96,7.5,249.0,27.0,116.0,38824.9,1.0,10641034.0
132,Thaïlande,12.95,4.35,881.0,796.0,2.0,17423.0,-0.75,69209810.0
133,Timor-Leste,4.24,1.46,5.0,9.76,11.0,3177.5,0.07,1243258.0
134,Togo,7.06,2.39,54.0,0.0,16.0,2012.2,-0.88,7698474.0
135,Trinité-et-Tobago,54.54,16.63,76.0,0.0,23.0,27277.9,0.28,1384059.0
136,Tunisie,17.03,6.28,195.0,4.0,0.0,11234.5,-1.02,11433443.0
137,Turkménistan,4.52,1.53,27.0,-0.5199999999999996,9.0,14205.0,-0.13,5757667.0
138,Turquie,20.64,6.99,1674.0,429.0,3.0,27913.8,-1.79,81116450.0
139,Ukraine,22.62,7.58,1009.0,273.0,121.0,11860.6,-1.87,44487709.0
140,Uruguay,9.12,2.97,33.0,3.0,3.0,23009.9,1.05,3436641.0
141,Vanuatu,11.66,4.05,3.0,-8.66,4.0,3081.5,0.7,285510.0
142,Viet Nam,12.33,4.01,1206.0,1.0,291.0,8996.4,0.23,94600648.0
143,Zambie,3.42,1.15,60.0,1.0,12.0,3485.0,0.15,16853599.0
144,Zimbabwe,4.68,1.59,76.0,-5.680000000000007,6.0,3795.6,-0.71,14236595.0
145,Égypte,12.96,4.51,1250.0,1.0,110.0,11014.5,-1.42,96442591.0
146,Émirats arabes unis,43.47,14.8,412.0,94.0,433.0,67183.6,0.62,9487203.0
147,Équateur,19.31,6.15,341.0,0.0,0.0,11617.9,-0.07,16785361.0
148,États-Unis d'Amérique,55.68,19.93,18266.0,3692.0,123.0,59914.8,0.29,325084756.0
149,Éthiopie,0.13,0.04,14.0,0.8699999999999992,1.0,2021.6,-1.68,106399924.0
150,Îles Salomon,4.45,1.51,3.0,0.0,6.0,2663.5,0.2,636039.0
